team,map,times played,wins,losses,total rounds played,rounds won,win percent,pistol rounds,pistol rounds won,pistol round win percent,ct round win percent,t round win percent
Vitality,Ancient,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Vitality,Anubis,13,6,7,314,160,46.2,26,9,34.6,44.9,57.0
Vitality,Dust 2,19,13,6,385,223,68.4,38,23,60.5,52.0,63.1
Vitality,Mirage,14,11,3,356,198,78.6,28,15,53.6,57.3,53.9
Vitality,Inferno,14,7,7,309,163,50.0,28,16,57.1,50.9,55.2
Vitality,Nuke,15,12,3,312,182,80.0,30,18,60.0,63.4,53.5
Vitality,Vertigo,7,6,1,166,94,85.7,14,7,50.0,46.3,66.7
Natus Vincere,Ancient,19,15,4,398,231,78.9,38,20,52.6,55.7,60.4
Natus Vincere,Anubis,12,8,4,285,159,66.7,24,18,75.0,47.2,62.7
Natus Vincere,Dust 2,13,10,3,278,154,76.9,26,14,53.8,59.3,51.7
Natus Vincere,Mirage,21,17,4,450,269,81.0,42,24,57.1,63.4,56.7
Natus Vincere,Inferno,12,6,6,256,132,50.0,24,14,58.3,53.5,49.1
Natus Vincere,Nuke,19,8,11,412,200,42.1,38,18,47.4,50.8,46.5
Natus Vincere,Vertigo,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Spirit,Ancient,15,9,6,300,164,60.0,30,15,50.0,55.9,53.4
Spirit,Anubis,13,9,4,264,150,69.2,26,15,57.7,54.7,59.6
Spirit,Dust 2,14,10,4,293,166,71.4,28,16,57.1,58.5,54.5
Spirit,Mirage,14,5,9,304,140,35.7,28,15,53.6,50.3,41.4
Spirit,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Spirit,Nuke,18,15,3,398,225,83.3,36,15,41.7,62.1,51.2
Spirit,Vertigo,5,4,1,100,63,80.0,10,6,60.0,56.7,72.5
MOUZ,Ancient,9,5,4,195,103,55.6,18,12,66.7,55.7,50.0
MOUZ,Anubis,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
MOUZ,Dust 2,8,5,3,171,95,62.5,16,8,50.0,48.5,65.3
MOUZ,Mirage,17,14,3,356,215,82.4,34,20,58.8,66.1,55.5
MOUZ,Inferno,9,4,5,205,99,44.4,18,9,50.0,55.3,39.6
MOUZ,Nuke,21,13,8,436,243,61.9,42,20,47.6,60.6,50.9
MOUZ,Vertigo,16,7,9,384,192,43.8,32,14,43.8,50.2,49.7
The MongolZ,Ancient,22,16,6,521,292,72.7,44,21,47.7,54.5,57.4
The MongolZ,Anubis,14,6,8,300,144,42.9,28,12,42.9,39.7,56.4
The MongolZ,Dust 2,5,3,2,94,55,60.0,10,4,40.0,55.0,64.7
The MongolZ,Mirage,20,13,7,449,247,65.0,40,26,65.0,57.1,53.3
The MongolZ,Inferno,7,4,3,148,84,57.1,14,13,92.9,56.8,56.8
The MongolZ,Nuke,16,9,7,342,180,56.2,32,16,50.0,57.0,47.4
The MongolZ,Vertigo,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
G2,Ancient,22,15,7,472,254,68.2,44,29,65.9,49.8,58.1
G2,Anubis,16,8,8,343,172,50.0,32,14,43.8,50.6,49.7
G2,Dust 2,13,8,5,266,146,61.5,26,13,50.0,52.9,57.1
G2,Mirage,13,8,5,276,149,61.5,26,18,69.2,52.8,55.0
G2,Inferno,25,19,6,566,311,76.0,50,30,60.0,56.7,53.5
G2,Nuke,20,14,6,410,227,70.0,40,23,57.5,60.0,49.1
G2,Vertigo,4,1,3,110,53,25.0,8,4,50.0,34.5,63.5
MIBR,Ancient,18,9,9,381,191,50.0,36,17,47.2,42.6,57.1
MIBR,Anubis,29,18,11,609,328,62.1,58,33,56.9,46.0,61.4
MIBR,Dust 2,2,1,1,49,23,50.0,4,2,50.0,36.4,55.6
MIBR,Mirage,13,4,9,278,125,30.8,26,15,57.7,40.0,51.2
MIBR,Inferno,9,5,4,196,99,55.6,18,7,38.9,48.2,53.5
MIBR,Nuke,20,11,9,429,206,55.0,40,17,42.5,44.7,52.1
MIBR,Vertigo,28,18,10,552,314,64.3,56,39,69.6,58.9,55.5
PARIVISION,Ancient,17,10,7,343,188,58.8,34,21,61.8,55.3,54.3
PARIVISION,Anubis,14,5,9,296,131,35.7,28,12,42.9,39.7,49.0
PARIVISION,Dust 2,6,4,2,117,63,66.7,12,6,50.0,48.5,61.2
PARIVISION,Mirage,23,14,9,537,284,60.9,46,26,56.5,57.3,49.1
PARIVISION,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
PARIVISION,Nuke,13,7,6,295,151,53.8,26,11,42.3,56.2,45.8
PARIVISION,Vertigo,9,4,5,183,78,44.4,18,4,22.2,40.6,44.8
9 Pandas,Ancient,16,8,8,307,156,50.0,32,18,56.2,52.7,48.6
9 Pandas,Anubis,15,5,10,312,150,33.3,30,12,40.0,40.1,55.2
9 Pandas,Dust 2,9,5,4,203,107,55.6,18,7,38.9,52.5,52.9
9 Pandas,Mirage,16,7,9,372,183,43.8,32,17,53.1,49.7,48.6
9 Pandas,Inferno,11,5,6,272,134,45.5,22,10,45.5,47.5,51.1
9 Pandas,Nuke,19,12,7,431,229,63.2,38,19,50.0,58.7,47.1
9 Pandas,Vertigo,1,0,1,16,3,0.0,2,0,0.0,0.0,25.0
Monte,Ancient,22,9,13,476,237,40.9,44,22,50.0,54.2,44.4
Monte,Anubis,23,13,10,538,277,56.5,46,25,54.3,51.6,51.4
Monte,Dust 2,10,4,6,216,113,40.0,20,15,75.0,56.0,48.6
Monte,Mirage,30,16,14,658,351,53.3,60,34,56.7,54.4,52.4
Monte,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Monte,Nuke,23,11,12,533,267,47.8,46,22,47.8,51.4,48.6
Monte,Vertigo,23,11,12,530,259,47.8,46,20,43.5,50.0,47.7
Eternal Fire,Ancient,2,0,2,45,19,0.0,4,2,50.0,38.1,45.8
Eternal Fire,Anubis,19,15,4,450,259,78.9,38,21,55.3,57.1,58.0
Eternal Fire,Dust 2,13,8,5,307,166,61.5,26,16,61.5,57.3,51.2
Eternal Fire,Mirage,16,6,10,348,167,37.5,32,16,50.0,47.4,48.7
Eternal Fire,Inferno,15,9,6,338,176,60.0,30,13,43.3,50.6,53.5
Eternal Fire,Nuke,16,8,8,358,172,50.0,32,16,50.0,50.7,44.4
Eternal Fire,Vertigo,14,10,4,288,163,71.4,28,14,50.0,57.4,55.9
B8,Ancient,38,19,19,790,392,50.0,76,34,44.7,51.6,47.8
B8,Anubis,32,19,13,720,375,59.4,64,39,60.9,46.2,59.1
B8,Dust 2,9,3,6,197,97,33.3,18,10,55.6,40.2,58.0
B8,Mirage,39,18,21,930,465,46.2,78,41,52.6,56.5,43.8
B8,Inferno,15,10,5,341,184,66.7,30,17,56.7,55.5,52.2
B8,Nuke,29,16,13,682,349,55.2,58,31,53.4,59.8,42.0
B8,Vertigo,2,2,0,52,29,100.0,4,3,75.0,48.0,63.0
FaZe,Ancient,17,9,8,409,211,52.9,34,17,50.0,53.1,50.0
FaZe,Anubis,12,5,7,262,122,41.7,24,13,54.2,44.5,48.5
FaZe,Dust 2,12,6,6,256,132,50.0,24,11,45.8,54.6,48.9
FaZe,Mirage,18,12,6,400,216,66.7,36,18,50.0,61.3,46.4
FaZe,Inferno,18,13,5,383,213,72.2,36,18,50.0,55.5,55.7
FaZe,Nuke,23,12,11,521,257,52.2,46,28,60.9,52.6,46.7
FaZe,Vertigo,4,2,2,84,41,50.0,8,4,50.0,38.3,62.2
Nemiga,Ancient,31,20,11,641,354,64.5,62,30,48.4,56.3,54.4
Nemiga,Anubis,26,16,10,571,300,61.5,52,31,59.6,42.6,61.5
Nemiga,Dust 2,9,5,4,199,102,55.6,18,9,50.0,42.7,61.8
Nemiga,Mirage,8,6,2,185,103,75.0,16,9,56.2,56.2,55.0
Nemiga,Inferno,17,8,9,374,177,47.1,34,15,44.1,51.6,43.2
Nemiga,Nuke,6,3,3,111,58,50.0,12,6,50.0,56.9,43.6
Nemiga,Vertigo,13,8,5,274,139,61.5,26,12,46.2,51.8,49.6
Aurora,Ancient,21,12,9,458,234,57.1,42,22,52.4,56.3,45.1
Aurora,Anubis,21,8,13,428,200,38.1,42,20,47.6,41.9,51.9
Aurora,Dust 2,9,2,7,229,102,22.2,18,7,38.9,53.2,36.4
Aurora,Mirage,25,19,6,565,310,76.0,50,24,48.0,58.4,51.8
Aurora,Inferno,16,6,10,349,161,37.5,32,13,40.6,37.9,56.5
Aurora,Nuke,26,14,12,529,264,53.8,52,24,46.2,52.1,47.8
Aurora,Vertigo,1,1,0,16,13,100.0,2,2,100.0,75.0,100.0
Astralis,Ancient,14,9,5,297,164,64.3,28,15,53.6,59.2,52.3
Astralis,Anubis,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Astralis,Dust 2,12,4,8,244,108,33.3,24,10,41.7,44.9,43.5
Astralis,Mirage,11,6,5,239,123,54.5,22,11,50.0,45.4,58.7
Astralis,Inferno,14,8,6,296,158,57.1,28,10,35.7,52.3,54.2
Astralis,Nuke,15,8,7,315,168,53.3,30,19,63.3,62.5,42.9
Astralis,Vertigo,8,4,4,201,105,50.0,16,10,62.5,48.0,56.6
Passion UA,Ancient,17,5,12,352,156,29.4,34,16,47.1,41.6,46.8
Passion UA,Anubis,19,11,8,415,217,57.9,38,21,55.3,45.0,59.8
Passion UA,Dust 2,9,2,7,213,100,22.2,18,6,33.3,50.5,43.3
Passion UA,Mirage,16,7,9,408,203,43.8,32,15,46.9,51.0,48.5
Passion UA,Inferno,10,6,4,193,104,60.0,20,10,50.0,47.9,59.8
Passion UA,Nuke,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Passion UA,Vertigo,10,7,3,206,116,70.0,20,15,75.0,56.6,56.1
fnatic,Ancient,23,14,9,531,272,60.9,46,25,54.3,50.9,51.5
fnatic,Anubis,18,7,11,412,196,38.9,36,14,38.9,48.1,47.1
fnatic,Dust 2,9,5,4,203,107,55.6,18,13,72.2,50.5,54.7
fnatic,Mirage,14,3,11,300,129,21.4,28,10,35.7,51.8,31.5
fnatic,Inferno,19,11,8,405,218,57.9,38,20,52.6,51.0,56.4
fnatic,Nuke,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
fnatic,Vertigo,17,12,5,358,208,70.6,34,20,58.8,58.1,58.1
3DMAX,Ancient,34,15,19,698,318,44.1,68,26,38.2,42.7,49.2
3DMAX,Anubis,40,22,18,851,439,55.0,80,38,47.5,44.6,59.3
3DMAX,Dust 2,18,12,6,425,225,66.7,36,19,52.8,55.7,50.0
3DMAX,Mirage,1,0,1,15,2,0.0,2,0,0.0,16.7,0.0
3DMAX,Inferno,21,15,6,481,266,71.4,42,24,57.1,55.9,54.7
3DMAX,Nuke,32,16,16,673,339,50.0,64,30,46.9,57.4,43.3
3DMAX,Vertigo,12,8,4,271,136,66.7,24,14,58.3,43.9,56.1
Liquid,Ancient,13,12,1,319,179,92.3,26,10,38.5,55.8,56.4
Liquid,Anubis,20,14,6,465,253,70.0,40,21,52.5,49.4,59.7
Liquid,Dust 2,10,7,3,218,120,70.0,20,11,55.0,54.4,55.7
Liquid,Mirage,15,6,9,304,135,40.0,30,12,40.0,49.4,38.6
Liquid,Inferno,17,8,9,370,179,47.1,34,17,50.0,52.5,44.6
Liquid,Nuke,22,9,13,497,245,40.9,44,21,47.7,57.5,40.3
Liquid,Vertigo,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Imperial,Ancient,1,0,1,21,8,0.0,2,1,50.0,25.0,55.6
Imperial,Anubis,12,6,6,241,123,50.0,24,9,37.5,48.3,53.7
Imperial,Dust 2,13,8,5,267,146,61.5,26,17,65.4,60.0,49.2
Imperial,Mirage,14,12,2,300,170,85.7,28,14,50.0,59.4,54.1
Imperial,Inferno,25,11,14,550,276,44.0,50,25,50.0,49.2,51.1
Imperial,Nuke,21,8,13,461,217,38.1,42,24,57.1,47.0,47.1
Imperial,Vertigo,13,5,8,279,132,38.5,26,9,34.6,50.3,43.7
HEROIC,Ancient,21,10,11,437,221,47.6,42,22,52.4,49.1,52.0
HEROIC,Anubis,16,6,10,348,165,37.5,32,16,50.0,40.1,53.8
HEROIC,Dust 2,12,7,5,253,133,58.3,24,7,29.2,53.1,51.8
HEROIC,Mirage,14,8,6,307,157,57.1,28,11,39.3,54.8,47.8
HEROIC,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
HEROIC,Nuke,23,13,10,493,266,56.5,46,26,56.5,57.5,50.9
HEROIC,Vertigo,9,4,5,215,104,44.4,18,6,33.3,47.1,50.0
Sangal,Ancient,20,11,9,426,225,55.0,40,15,37.5,51.8,53.9
Sangal,Anubis,31,20,11,642,363,64.5,62,32,51.6,51.9,61.2
Sangal,Dust 2,7,0,7,147,50,0.0,14,5,35.7,38.9,26.3
Sangal,Mirage,18,12,6,468,251,66.7,36,28,77.8,60.4,47.3
Sangal,Inferno,1,0,1,19,6,0.0,2,0,0.0,41.7,14.3
Sangal,Nuke,27,15,12,604,299,55.6,54,24,44.4,53.9,45.3
Sangal,Vertigo,9,6,3,199,107,66.7,18,10,55.6,50.0,57.9
Complexity,Ancient,12,4,8,262,117,33.3,24,10,41.7,39.4,50.4
Complexity,Anubis,18,10,8,390,200,55.6,36,18,50.0,48.3,54.6
Complexity,Dust 2,8,3,5,196,86,37.5,16,5,31.2,47.5,40.0
Complexity,Mirage,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Complexity,Inferno,6,3,3,121,60,50.0,12,6,50.0,49.3,50.0
Complexity,Nuke,14,5,9,292,132,35.7,28,13,46.4,50.9,38.3
Complexity,Vertigo,18,14,4,428,236,77.8,36,18,50.0,57.8,52.8
AMKAL,Ancient,10,5,5,246,121,50.0,20,12,60.0,44.4,54.9
AMKAL,Anubis,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
AMKAL,Dust 2,13,5,8,322,151,38.5,26,8,30.8,36.2,56.5
AMKAL,Mirage,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
AMKAL,Inferno,16,9,7,341,173,56.2,32,19,59.4,52.2,49.5
AMKAL,Nuke,15,8,7,373,188,53.3,30,19,63.3,50.5,50.3
AMKAL,Vertigo,19,14,5,388,215,73.7,38,16,42.1,54.8,55.9
9z,Ancient,7,4,3,157,83,57.1,14,6,42.9,50.0,55.6
9z,Anubis,13,5,8,296,137,38.5,26,14,53.8,43.3,48.8
9z,Dust 2,17,8,9,380,189,47.1,34,20,58.8,47.8,51.5
9z,Mirage,10,5,5,193,101,50.0,20,12,60.0,60.2,45.7
9z,Inferno,9,2,7,205,97,22.2,18,10,55.6,53.6,39.8
9z,Nuke,20,6,14,466,224,30.0,40,24,60.0,51.4,45.2
9z,Vertigo,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
paiN,Ancient,1,1,0,21,13,100.0,2,1,50.0,44.4,75.0
paiN,Anubis,29,17,12,628,321,58.6,58,31,53.4,46.9,55.1
paiN,Dust 2,10,7,3,212,114,70.0,20,12,60.0,53.3,54.3
paiN,Mirage,19,10,9,391,191,52.6,38,15,39.5,48.2,49.7
paiN,Inferno,20,13,7,458,244,65.0,40,26,65.0,54.5,51.9
paiN,Nuke,30,18,12,647,337,60.0,60,27,45.0,56.2,48.4
paiN,Vertigo,22,13,9,490,256,59.1,44,28,63.6,53.9,50.4
BLEED,Ancient,34,13,21,706,336,38.2,68,29,42.6,48.8,46.1
BLEED,Anubis,28,13,15,660,326,46.4,56,30,53.6,44.4,55.0
BLEED,Dust 2,4,2,2,87,38,50.0,8,5,62.5,32.6,54.5
BLEED,Mirage,27,12,15,620,295,44.4,54,22,40.7,50.3,44.9
BLEED,Inferno,22,9,13,514,247,40.9,44,12,27.3,49.4,46.6
BLEED,Nuke,11,4,7,232,113,36.4,22,14,63.6,49.6,47.7
BLEED,Vertigo,11,7,4,256,132,63.6,22,7,31.8,48.1,55.3
SAW,Ancient,18,8,10,405,196,44.4,36,17,47.2,46.8,50.3
SAW,Anubis,16,7,9,346,170,43.8,32,18,56.2,40.2,57.1
SAW,Dust 2,11,5,6,245,116,45.5,22,11,50.0,40.2,54.5
SAW,Mirage,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
SAW,Inferno,15,8,7,326,159,53.3,30,16,53.3,45.7,52.3
SAW,Nuke,26,16,10,531,297,61.5,52,26,50.0,58.6,53.8
SAW,Vertigo,11,6,5,232,122,54.5,22,14,63.6,53.5,51.9
BetBoom,Ancient,21,12,9,425,213,57.1,42,24,57.1,51.7,48.7
BetBoom,Anubis,20,11,9,425,223,55.0,40,20,50.0,48.1,55.9
BetBoom,Dust 2,4,2,2,75,41,50.0,8,6,75.0,48.7,61.1
BetBoom,Mirage,27,16,11,590,308,59.3,54,28,51.9,55.8,49.4
BetBoom,Inferno,1,0,1,19,6,0.0,2,1,50.0,42.9,25.0
BetBoom,Nuke,18,11,7,377,201,61.1,36,20,55.6,53.1,53.6
BetBoom,Vertigo,15,3,12,325,131,20.0,30,13,43.3,34.2,46.3
Virtus.pro,Ancient,17,6,11,396,186,35.3,34,17,50.0,46.6,47.4
Virtus.pro,Anubis,8,5,3,167,81,62.5,16,8,50.0,37.8,58.8
Virtus.pro,Dust 2,20,8,12,433,206,40.0,40,18,45.0,47.6,47.6
Virtus.pro,Mirage,17,11,6,368,191,64.7,34,15,44.1,59.2,45.7
Virtus.pro,Inferno,8,4,4,169,84,50.0,16,7,43.8,51.1,48.1
Virtus.pro,Nuke,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Virtus.pro,Vertigo,19,8,11,433,211,42.1,38,17,44.7,47.4,50.2
MOUZ NXT,Ancient,17,7,10,364,177,41.2,34,16,47.1,51.4,46.0
MOUZ NXT,Anubis,10,4,6,244,115,40.0,20,10,50.0,37.6,55.9
MOUZ NXT,Dust 2,8,5,3,168,84,62.5,16,10,62.5,40.0,59.1
MOUZ NXT,Mirage,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
MOUZ NXT,Inferno,13,5,8,273,132,38.5,26,15,57.7,54.0,43.5
MOUZ NXT,Nuke,16,3,13,330,137,18.8,32,12,37.5,46.8,35.8
MOUZ NXT,Vertigo,15,7,8,304,156,46.7,30,25,83.3,50.4,52.0
ENCE,Ancient,13,1,12,287,114,7.7,26,10,38.5,45.7,34.2
ENCE,Anubis,8,4,4,159,85,50.0,16,8,50.0,55.1,51.9
ENCE,Dust 2,7,4,3,149,70,57.1,14,6,42.9,44.1,49.4
ENCE,Mirage,8,2,6,152,65,25.0,16,5,31.2,47.3,38.5
ENCE,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
ENCE,Nuke,11,2,9,220,94,18.2,22,12,54.5,38.9,45.6
ENCE,Vertigo,7,5,2,170,94,71.4,14,9,64.3,51.0,60.8
Falcons,Ancient,15,6,9,341,164,40.0,30,17,56.7,49.2,46.8
Falcons,Anubis,13,6,7,269,130,46.2,26,9,34.6,49.6,47.0
Falcons,Dust 2,18,10,8,414,212,55.6,36,16,44.4,54.5,47.8
Falcons,Mirage,14,4,10,281,129,28.6,28,12,42.9,52.1,36.8
Falcons,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Falcons,Nuke,22,9,13,459,225,40.9,44,19,43.2,50.5,47.8
Falcons,Vertigo,17,10,7,390,197,58.8,34,16,47.1,51.0,50.0
BIG,Ancient,23,11,12,530,260,47.8,46,21,45.7,48.2,49.8
BIG,Anubis,11,4,7,242,111,36.4,22,11,50.0,43.2,49.1
BIG,Dust 2,10,4,6,200,99,40.0,20,12,60.0,58.8,40.8
BIG,Mirage,9,2,7,175,68,22.2,18,7,38.9,35.8,42.5
BIG,Inferno,7,2,5,165,79,28.6,14,7,50.0,46.4,49.4
BIG,Nuke,10,4,6,207,94,40.0,20,11,55.0,48.7,41.5
BIG,Vertigo,11,6,5,258,133,54.5,22,7,31.8,42.6,60.5
FURIA,Ancient,5,3,2,107,52,60.0,10,8,80.0,44.1,54.2
FURIA,Anubis,7,2,5,137,57,28.6,14,6,42.9,38.3,44.2
FURIA,Dust 2,11,7,4,270,132,63.6,22,10,45.5,50.4,47.3
FURIA,Mirage,17,6,11,350,154,35.3,34,14,41.2,45.5,42.5
FURIA,Inferno,15,11,4,319,181,73.3,30,17,56.7,48.6,63.3
FURIA,Nuke,25,16,9,537,292,64.0,50,28,56.0,54.3,54.5
FURIA,Vertigo,9,2,7,194,82,22.2,18,6,33.3,43.7,40.7
OG,Ancient,15,7,8,325,167,46.7,30,18,60.0,51.6,51.2
OG,Anubis,12,4,8,260,112,33.3,24,8,33.3,40.8,45.4
OG,Dust 2,6,1,5,132,50,16.7,12,5,41.7,44.4,33.3
OG,Mirage,6,2,4,128,62,33.3,12,6,50.0,53.5,42.1
OG,Inferno,8,2,6,186,85,25.0,16,9,56.2,54.2,36.7
OG,Nuke,6,5,1,135,74,83.3,12,8,66.7,56.3,53.1
OG,Vertigo,11,7,4,254,134,63.6,22,13,59.1,48.9,57.0
Sashi,Ancient,15,8,7,309,161,53.3,30,14,46.7,53.4,50.4
Sashi,Anubis,19,7,12,403,191,36.8,38,16,42.1,34.1,57.4
Sashi,Dust 2,1,1,0,22,13,100.0,2,2,100.0,66.7,50.0
Sashi,Mirage,23,12,11,510,262,52.2,46,21,45.7,50.8,52.0
Sashi,Inferno,6,4,2,125,67,66.7,12,1,8.3,54.4,52.9
Sashi,Nuke,29,19,10,686,362,65.5,58,28,48.3,51.6,53.8
Sashi,Vertigo,21,8,13,460,210,38.1,42,17,40.5,43.2,48.6
SINNERS,Ancient,19,12,7,396,211,63.2,38,24,63.2,52.8,53.7
SINNERS,Anubis,17,7,10,391,194,41.2,34,14,41.2,37.1,61.0
SINNERS,Dust 2,7,4,3,172,85,57.1,14,7,50.0,43.2,54.9
SINNERS,Mirage,18,9,9,378,188,50.0,36,16,44.4,51.5,47.7
SINNERS,Inferno,22,7,15,488,211,31.8,44,17,38.6,43.4,43.1
SINNERS,Nuke,26,12,14,531,253,46.2,52,30,57.7,56.2,40.9
SINNERS,Vertigo,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Fluxo,Ancient,11,4,7,247,118,36.4,22,10,45.5,44.4,50.8
Fluxo,Anubis,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Fluxo,Dust 2,4,0,4,82,30,0.0,8,2,25.0,36.1,37.0
Fluxo,Mirage,14,8,6,297,156,57.1,28,17,60.7,57.1,48.0
Fluxo,Inferno,11,5,6,237,107,45.5,22,7,31.8,39.5,50.8
Fluxo,Nuke,16,7,9,351,176,43.8,32,15,46.9,55.1,45.1
Fluxo,Vertigo,14,8,6,262,132,57.1,28,15,53.6,58.7,42.6
Rebels,Ancient,13,6,7,291,139,46.2,26,9,34.6,47.7,47.9
Rebels,Anubis,8,3,5,170,84,37.5,16,12,75.0,48.1,50.5
Rebels,Dust 2,5,3,2,111,55,60.0,10,4,40.0,41.3,60.4
Rebels,Mirage,11,2,9,239,101,18.2,22,8,36.4,49.2,33.6
Rebels,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Rebels,Nuke,16,10,6,362,190,62.5,32,16,50.0,58.4,46.7
Rebels,Vertigo,5,3,2,103,58,60.0,10,6,60.0,47.6,62.3
Ninjas in Pyjamas,Ancient,26,18,8,607,313,69.2,52,24,46.2,50.0,53.0
Ninjas in Pyjamas,Anubis,9,4,5,189,88,44.4,18,6,33.3,40.0,51.9
Ninjas in Pyjamas,Dust 2,2,0,2,36,10,0.0,4,1,25.0,29.2,25.0
Ninjas in Pyjamas,Mirage,9,1,8,206,82,11.1,18,5,27.8,44.5,34.4
Ninjas in Pyjamas,Inferno,10,4,6,207,95,40.0,20,11,55.0,37.5,54.4
Ninjas in Pyjamas,Nuke,12,2,10,241,94,16.7,24,11,45.8,48.0,28.9
Ninjas in Pyjamas,Vertigo,16,8,8,364,191,50.0,32,17,53.1,56.7,48.4
RED Canids,Ancient,18,7,11,391,180,38.9,36,21,58.3,40.4,52.8
RED Canids,Anubis,15,7,8,331,163,46.7,30,16,53.3,41.8,58.4
RED Canids,Dust 2,7,4,3,145,70,57.1,14,6,42.9,48.8,47.6
RED Canids,Mirage,20,8,12,433,198,40.0,40,18,45.0,48.2,43.6
RED Canids,Inferno,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
RED Canids,Nuke,18,9,9,411,203,50.0,36,18,50.0,55.7,42.8
RED Canids,Vertigo,17,5,12,361,165,29.4,34,16,47.1,44.4,46.8
GamerLegion,Ancient,11,8,3,239,120,72.7,22,7,31.8,52.8,47.3
GamerLegion,Anubis,17,8,9,412,199,47.1,34,17,50.0,51.7,45.0
GamerLegion,Dust 2,7,3,4,141,61,42.9,14,3,21.4,59.4,29.9
GamerLegion,Mirage,19,8,11,466,225,42.1,38,13,34.2,50.9,45.8
GamerLegion,Inferno,6,4,2,136,69,66.7,12,7,58.3,42.9,57.5
GamerLegion,Nuke,17,9,8,374,184,52.9,34,12,35.3,52.9,44.6
GamerLegion,Vertigo,10,2,8,235,108,20.0,20,9,45.0,45.5,46.4
Zero Tenacity,Ancient,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
Zero Tenacity,Anubis,44,26,18,967,499,59.1,88,42,47.7,46.4,57.5
Zero Tenacity,Dust 2,16,6,10,371,172,37.5,32,18,56.2,48.3,44.6
Zero Tenacity,Mirage,22,7,15,504,241,31.8,44,22,50.0,46.3,49.6
Zero Tenacity,Inferno,16,9,7,353,193,56.2,32,20,62.5,52.1,57.9
Zero Tenacity,Nuke,19,10,9,422,200,52.6,38,20,52.6,54.5,40.4
Zero Tenacity,Vertigo,17,2,15,397,167,11.8,34,14,41.2,39.6,45.0
